stock: JNJ
Date,Close,High,Low,Open,Volume
2024-05-01,146.4807586669922,147.1299455962579,143.03141901558877,144.11661532155625,14470900
2024-05-02,145.2599334716797,147.59502536002142,144.50417992196998,147.3140313468405,8459800
2024-05-03,144.63014221191406,145.23086559506507,143.22521651466332,145.23086559506507,6532700
2024-05-06,143.9615936279297,145.38590185083612,143.3124214449946,145.21148921920968,5042800
2024-05-07,144.0972442626953,145.0758444776021,143.8356327021693,144.7367326175408,7333500
2024-05-08,144.32009887695312,145.07585250742244,144.07786977014908,144.4848128954409,7735100
2024-05-09,145.19210815429688,145.4343372204305,144.2619420351686,144.34914095069936,6546200
2024-05-10,145.250244140625,145.42464197573997,144.55262323118657,145.3374430581825,5710600
2024-05-13,146.51953125,147.27528481828196,145.05647288770854,145.37620227202845,5628500
2024-05-14,146.674560546875,147.47876288467575,146.01568974654242,147.12995241026206,8254200
