stock: UNH
Date,Close,High,Low,Open,Volume
2023-03-01,458.9929504394531,462.07402579135123,455.8829006584828,457.43791081121157,2996900
2023-03-02,461.3882141113281,464.02497521840024,457.0901543823995,458.9832189292349,2188800
2023-03-03,462.2188720703125,462.74044123993696,458.0270712045423,461.62004758598977,2863300
2023-03-06,464.363037109375,467.8111411232401,462.6438190859466,464.9328871281818,3812700
2023-03-07,457.69866943359375,467.29925575232517,456.4237357168041,466.4879423349618,2589200
2023-03-08,454.5307312011719,459.157178413551,450.82185674168596,455.6414569977435,3036600
2023-03-09,449.03497314453125,457.7662974056146,447.91457950025637,457.7662974056146,2780400
2023-03-10,446.1949462890625,454.4630201886468,443.53909107406105,448.56002523252937,3787500
2023-03-13,449.44207763671875,455.9266545952997,444.56653170506996,444.56653170506996,2971600
2023-03-14,450.3144226074219,455.41291657827304,444.9542300048689,450.38228026099074,3258200
