stock: AMZN
Date,Close,High,Low,Open,Volume
2023-03-01,92.16999816894531,94.68000030517578,91.58999633789062,93.87000274658203,52299500
2023-03-02,92.12999725341797,92.2300033569336,90.38999938964844,91.41000366210938,55509400
2023-03-03,94.9000015258789,94.94000244140625,92.66000366210938,92.73999786376953,55759600
2023-03-06,93.75,96.55000305175781,93.73999786376953,95.19000244140625,52112400
2023-03-07,93.55000305175781,95.08999633789062,92.77999877929688,94.05999755859375,49100700
2023-03-08,93.91999816894531,94.16999816894531,92.18000030517578,93.5999984741211,44899100
2023-03-09,92.25,96.20999908447266,92.18000030517578,93.68000030517578,56218700
2023-03-10,90.7300033569336,93.56999969482422,90.25,92.66999816894531,69827500
2023-03-13,92.43000030517578,94.0199966430664,88.12000274658203,89.97000122070312,72397100
2023-03-14,94.87999725341797,95.06999969482422,92.70999908447266,93.83000183105469,60912700
