stock: GOOGL
Date,Close,High,Low,Open,Volume
2023-03-01,89.93004608154297,90.59685623870114,89.24332683704428,89.5518569460858,31111200
2023-03-02,91.56224822998047,91.84091472708995,89.16371177840199,89.23338599577193,32204400
2023-03-03,93.20439147949219,93.28401264189694,92.01009682269682,92.03996045341758,35160100
2023-03-06,94.6773452758789,95.51335229721735,93.55272482794965,93.57262632205895,32639300
2023-03-07,93.41339874267578,95.21478402463518,93.08496711653402,94.52807232544816,27835500
2023-03-08,93.8015365600586,95.503399070826,93.55272611825472,93.67215786383373,34103300
2023-03-09,91.88072967529297,95.07545518561926,91.46272990977579,93.60250146148456,28813500
2023-03-10,90.19876098632812,92.34848690437508,89.96985962601842,91.73143425906332,35941000
2023-03-13,90.67647552490234,92.12952755390786,88.99451455477161,89.661324698127,37335600
2023-03-14,93.52287292480469,93.91101661837747,92.00015418954344,92.11957834566286,36050200
